"account_id","churn"
33254,False
37312,False
13097,True
52196,False
52286,False
55250,False
18110,False
55251,False
55253,False
27000,False
1390,False
16124,False
1422,False
9577,False
50301,False
37028,False
40610,False
43725,False
64556,False
50919,False
13098,False
12525,False
66031,False
55282,False
55288,False
25354,False
13100,False
22985,False
66098,False
18326,False
25486,False
30344,False
14102,False
30042,False
18090,False
42060,False
53337,False
26797,True
30470,True
13109,False
26063,False
16045,False
36378,True
51246,False
43519,False
55132,False
25667,False
19082,False
36776,False
39284,False
26432,False
53896,False
328,False
44863,False
64631,False
20825,False
57159,False
64151,False
60260,False
14527,False
64185,False
35005,False
3907,False
16169,False
33832,False
39886,False
43017,False
65355,False
52287,False
30379,True
52834,False
18677,False
65701,False
20390,False
42215,False
50680,True
13318,True
23007,False
34458,False
57616,False
13330,False
23015,False
37775,False
55347,False
41514,False
55375,False
25967,False
27989,True
50721,False
1789,False
3137,False
3556,False
16356,False
18423,False
25483,False
31412,False
37169,False
48280,False
13131,True
30432,False
53398,False
53956,False
37823,False
54076,False
55378,False
64107,False
65555,False
3843,False
7164,False
10294,False
17043,False
20354,False
34808,False
55083,False
13143,True
55393,False
55402,False
36095,True
38915,False
43622,False
2024,False
2170,False
25322,False
42517,False
31903,False
62389,False
55403,False
13148,False
13158,True
26042,True
31388,False
62590,False
47436,False
64810,False
55459,False
16830,False
55460,False
55461,False
28464,True
26886,True
31470,True
6068,False
33146,False
23500,False
24196,False
419,False
7783,False
9724,False
17706,False
18219,False
21914,False
31692,False
31956,False
42217,False
51088,False
20466,False
13170,False
26115,False
27988,False
55477,False
55482,False
43563,True
4934,False
30927,False
40058,False
48837,False
55488,False
30500,False
24181,False
33212,False
55508,False
55561,False
493,False
8757,False
11662,False
21884,False
24802,False
36002,False
38726,False
65465,False
37389,True
28922,False
55592,False
55593,False
55610,False
3486,False
8392,False
13175,False
16847,False
31557,False
33549,False
36436,False
40509,False
54846,False
13374,True
23996,True
55626,False
65486,False
9262,False
12834,False
13910,False
18837,False
29367,False
33659,False
65261,False
64976,False
66376,False
50744,False
55644,False
13208,True
62670,False
55646,False
55647,False
37350,False
29900,False
13224,True
62366,False
13252,True
20030,False
27641,True
10718,False
30222,False
32280,False
37868,False
65376,False
30275,False
23001,False
65226,False
20074,False
37838,False
64146,False
2398,False
30526,True
19776,False
22093,False
23179,False
27798,False
42346,False
52950,False
37852,False
58845,False
13282,True
55680,False
55687,False
55688,False
66202,False
37669,False
63490,False
26450,False
57411,False
9821,False
25618,False
38135,False
55689,False
55691,False
55709,False
55713,False
55719,False
53963,False
51395,False
30528,True
44366,False
13287,False
316,False
65384,False
3673,False
9633,False
13641,False
17881,False
31709,False
28541,False
28091,False
65910,False
20737,False
23465,False
55726,False
26808,False
66016,False
66377,False
20143,False
64780,False
21665,False
25323,False
30569,False
53992,False
28906,False
55736,False
55764,False
23862,False
31577,False
25831,False
26781,True
1711,False
2182,False
12961,False
26709,False
13416,True
53390,False
53902,False
13303,False
55794,False
55806,False
55816,False
48388,False
42009,False
30561,False
41243,False
30583,True
638,False
4256,False
4312,False
33457,False
37936,False
53391,False
30603,False
55820,False
18479,False
52020,False
63149,False
66929,False
33706,False
11953,False
21705,False
34586,False
34648,False
37469,False
30615,True
55367,False
55757,False
55848,False
50602,False
65240,False
55849,False
29889,False
65887,False
13335,False
4895,False
55884,False
52074,False
66528,False
4824,False
11765,False
24002,False
24163,False
36434,False
41979,False
55886,False
13342,True
42133,False
66050,False
23333,False
55939,False
55948,False
24289,False
42201,False
66378,False
55952,False
30581,False
44901,False
42522,False
16678,False
14433,False
28900,False
33614,False
39448,False
64231,False
55973,False
55905,False
55978,False
46194,False
13346,True
52130,False
1697,False
37722,False
7085,False
13672,False
15665,False
21931,False
32058,False
36442,False
13651,False
65112,False
1522,False
40343,False
4818,False
11952,False
15814,False
35353,False
36874,False
36882,False
37089,False
51182,False
51532,False
52626,False
52741,False
9795,False
55983,False
45081,False
55984,False
65342,False
64170,False
43021,True
22005,False
2294,False
34079,False
8436,False
25564,False
36301,False
37926,False
50419,False
4281,False
53139,False
56013,False
49271,False
56019,False
65983,False
13355,True
43918,False
36576,False
53378,False
28808,False
30277,False
30657,True
51,False
755,False
16679,False
21750,False
29066,False
56036,False
65725,False
56041,False
56058,False
28970,False
50753,False
33300,False
22907,False
38777,False
63911,False
56064,False
